year,name,artists,album,popularity,release_date
2000,Say My Name,Destiny's Child,The Writing's On The Wall,60,1999-09-07
2000,Thong Song,Sisqo,Unleash The Dragon,73,1999-11-30
2000,Most Girls,P!nk,The Album Collection,0,2011
2000,Country Grammar (Hot Shit),Nelly,Country Grammar,3,2000-06-27
2000,Oops!...I Did It Again,Britney Spears,Greatest Hits: My Prerogative,49,2004-11-08
2000,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Christina Aguilera,0,1999-07-15
2000,Swear It Again - Radio Edit,Westlife,Westlife,0,1999-04-25
2000,Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,67,2000-05-16
2000,I Need to Know,Marc Anthony,Marc Anthony,55,1999-09-28
2000,Case Of The Ex (Whatcha Gonna Do),Mýa,Fear Of Flying,59,2000
2000,Breathe,Faith Hill,Breathe,69,1999-11-09
2000,Separated,Avant,My Thoughts,0,2000-01-01
2000,Bye Bye Bye,*NSYNC,Greatest Hits,49,2005-10-21
2000,Back Here,BBMAK,Sooner Or Later,53,2000-01-01
2000,Party Up,DMX,The Definition of X: Pick Of The Litter (Explicit Version),0,2007-06-16
2000,What a Girl Wants,Christina Aguilera,Christina Aguilera,0,1999-07-15
2000,All The Small Things,blink-182,Blink 182 (Sound and Vision Q4 2007) [International Version],4,2007-11-12
2000,Show Me the Meaning of Being Lonely,Backstreet Boys,Millennium,0,1999-05-21
2000,Never Let You Go,Third Eye Blind,Rhino Hi-Five: Third Eye Blind,0,2005
2000,What's Your Fantasy (Featuring Shawna),"Ludacris, Shawnna",Back For The First Time,0,2000-01-01
2000,Independent Women Part I,Destiny's Child,Survivor,44,2001-01-01
2000,There You Go,P!nk,Greatest Hits...So Far!!!,25,2010-11-12
2000,From the Bottom of My Broken Heart,Britney Spears,...Baby One More Time (Digital Deluxe Version),55,1999-01-12
2000,My Love Is Your Love,Whitney Houston,My Love Is Your Love,0,1998-11-17
2000,Bag Lady,Erykah Badu,Mama's Gun,60,2000-10-31
2000,Hot Boyz,Missy Elliott,Da Real World,52,1999
2000,I Don't Wanna,Aaliyah,Romeo Must Die,0,2005-03-28
2000,Girl On TV,LFO,LFO,52,1999-08-10
2000,Be With You,Enrique Iglesias,Greatest Hits,22,2008-01-01
2000,I Turn to You,Christina Aguilera,Christina Aguilera/Stripped,0,2006-08-28
2000,Thank God I Found You,"Mariah Carey, Joe, 98º",The Essential Mariah Carey,0,2011
2000,Dance with Me,Debelah Morgan,Dance With Me,46,2000
2000,What'chu Like (feat. Tyrese),"Da Brat, Tyrese",Unrestricted,54,2000-04-11
2000,Ride Wit Me,"Nelly, City Spud",Best Of Nelly,52,2009-01-01
2000,I Wanna Know,Joe,Greatest Hits,54,2008-10-14
2000,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),84,1999-06-08
2000,I Knew I Loved You,Savage Garden,Truly Madly Completely - The Best of Savage Garden,0,2005-11-01
2000,It's Gonna Be Me,*NSYNC,Greatest Hits,34,2005-10-21
